Num,Name,Current Price,Fair Price,gap,avg_pe,div_yield
BAX,,76.99,119.83736724137934,0.5565315916531932,16.393620689655176,1.26
BDX,,254.17,294.01272941176467,0.15675622383351567,27.503529411764703,1.29
BBY,,118.46,349.6718382352941,1.9518135930718734,14.551470588235293,1.87
BIIB,,269.31,2334.9518000000003,7.6701266198804365,19.641250000000003,0.0
BIO,,636.46,7186.1038490566025,10.290739165158222,24.63018867924528,0.0
BLK,,723.17,1697.962782352941,1.34794416576039,15.799411764705882,2.0
BKNG,,2085.28,8101.6705357142855,2.8851715528438793,28.552142857142858,0.0
BWA,,42.91,180.14373829787237,3.1981761430406057,16.42148936170213,1.57
BXP,,94.67,735.7533714285714,6.771769002097512,30.302857142857142,4.11
BSX,,39.25,380.7438461538461,8.700480156785888,46.15076923076923,0.0
