Num,Name,Current Price,Fair Price,gap,avg_pe,div_yield,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
ROP,,403.73,1229.56025,2.045501325143041,23.51875,0.55,ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,0000882835,"1981
"
ROST,,120.05,166.91733333333337,0.3903984450923228,17.533333333333335,0.0,ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,0000745732,"1982
"
SPGI,,333.0,1087.5642200000002,2.26595861861862,28.08066666666667,0.82,SPGI,S&P Global Inc.,reports,Financials,Financial Exchanges & Data,"New York, New York",,"0000064040
","1917
"
CRM,,236.7,1158.2480821428571,3.893316781338645,180.69392857142856,0.0,CRM,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",2008-09-15,0001108524,"1999
"
STX,,72.36,165.02474999999995,1.2806073797678272,9.0375,3.75,STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,0001137789,"1979
"
SRE,,126.85,585.4134038461539,3.615005154482884,13.661923076923074,3.35,SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,0001032208,"1998
"
SEE,,45.45,172.21635600000005,2.7891387458745878,18.3404,1.41,SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",1957-03-04,0001012100,"1960
"
SHW,,713.01,1645.299403448276,1.3075404320392086,22.254827586206893,0.74,SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,0000089800,"1866
"
SPG,,102.55,566.5681509433962,4.524799131578703,24.253773584905648,5.26,SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,"0001063761
","2003
"
SLG,,64.65,296.8405603773585,3.591501320608793,24.271509433962265,5.65,SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",2015-03-20,0001040971,"1997
"
SWKS,,185.29,386.89709818181814,1.0880624868142807,19.068363636363628,1.1,SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,0000004127,"2002
"
SO,,60.64,178.55991320754714,1.9445895977497885,12.763396226415095,4.22,SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,0000092122,"1945
"
SNA,,189.55,558.989581818182,1.9490349871705728,13.81927272727273,2.65,SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,"0000091440
","1920
"
SWK,,175.58,378.162,1.153787447317462,16.919999999999998,1.59,SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,"0000093556
","1843
"
SBUX,,105.87,121.7902490566038,0.15037545155949567,25.803018867924532,1.69,SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,0000829224,"1971
"
STT,,75.84,300.3424481481481,2.9602116053289573,12.304074074074075,2.73,STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,0000093751,"1792
"
SYK,,243.03,452.409375,0.8615371559066782,26.27232142857143,1.04,SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,0000310764,"1941
"
STE,,183.3,487.7988051724138,1.6612046108696876,26.787413793103447,0.87,STE,STERIS plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,0001757898,"1985
"
SYF,,37.12,101.26463636363638,1.7280343847962387,9.281818181818183,2.34,SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,0001601712,"2003
"
SIVB,,500.99,1338.4174499999995,1.6715452404239601,18.599464285714287,0.0,SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",2018-03-19,0000719739,"1983
"
SNPS,,278.16,402.24421568627463,0.4460893575146482,27.740980392156875,0.0,SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",2017-03-16,0000883241,"1986
"
TMUS,,124.45,289.0642066666667,1.3227336815320747,23.330444444444453,0.0,TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,0001283699,"1994
"
TTWO,,200.31,519.8777,1.595365683191054,35.75499999999999,0.0,TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",2018-03-19,0000946581,"1993
"
TROW,,165.14,485.71541132075475,1.9412341729487392,15.140754716981132,2.2,TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,0001113169,"1937
"
TGT,,194.29,316.33928571428584,0.6281809960074417,12.051020408163268,1.4,TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,"0000027419
","1902
"
TDY,,388.31,725.3442392857146,0.8679514802238275,18.723392857142862,0.0,TDY,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020-06-22,"0001094285
","1960
"
TER,,128.27,308.3803191489362,1.404149989467032,22.427659574468088,0.31,TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,0000097210,"1960
"
